FID,cd_recorte,quadro,cd_mun,nm_mun,id
qg_2022_030_munic.93,03011301159,030,1301159,Careiro da Várzea,93
qg_2022_030_munic.94,03011301209,030,1301209,Coari,94
qg_2022_030_munic.95,03011301308,030,1301308,Codajás,95
qg_2022_030_munic.96,03011301407,030,1301407,Eirunepé,96
qg_2022_030_munic.97,03011301506,030,1301506,Envira,97
qg_2022_030_munic.98,03011301605,030,1301605,Fonte Boa,98
qg_2022_030_munic.99,03011301654,030,1301654,Guajará,99
qg_2022_030_munic.100,03011301704,030,1301704,Humaitá,100
qg_2022_030_munic.101,03011301803,030,1301803,Ipixuna,101
qg_2022_030_munic.102,03011301852,030,1301852,Iranduba,102
qg_2022_030_munic.103,03011301902,030,1301902,Itacoatiara,103
qg_2022_030_munic.104,03011301951,030,1301951,Itamarati,104
qg_2022_030_munic.105,03011302009,030,1302009,Itapiranga,105
qg_2022_030_munic.106,03011302108,030,1302108,Japurá,106
qg_2022_030_munic.107,03011302207,030,1302207,Juruá,107
qg_2022_030_munic.108,03011302306,030,1302306,Jutaí,108
qg_2022_030_munic.109,03011302405,030,1302405,Lábrea,109
qg_2022_030_munic.110,03011302504,030,1302504,Manacapuru,110
qg_2022_030_munic.111,03011302553,030,1302553,Manaquiri,111
qg_2022_030_munic.112,03011302603,030,1302603,Manaus,112
qg_2022_030_munic.113,03011302702,030,1302702,Manicoré,113
qg_2022_030_munic.114,03011302801,030,1302801,Maraã,114
qg_2022_030_munic.115,03011302900,030,1302900,Maués,115
qg_2022_030_munic.116,03011303007,030,1303007,Nhamundá,116
qg_2022_030_munic.117,03011303106,030,1303106,Nova Olinda do Norte,117
qg_2022_030_munic.118,03011303205,030,1303205,Novo Airão,118
qg_2022_030_munic.119,03011303304,030,1303304,Novo Aripuanã,119
qg_2022_030_munic.120,03011303403,030,1303403,Parintins,120
qg_2022_030_munic.121,03011303502,030,1303502,Pauini,121
qg_2022_030_munic.122,03011303536,030,1303536,Presidente Figueiredo,122
qg_2022_030_munic.123,03011303569,030,1303569,Rio Preto da Eva,123
qg_2022_030_munic.124,03011303601,030,1303601,Santa Isabel do Rio Negro,124
qg_2022_030_munic.125,03011303700,030,1303700,Santo Antônio do Içá,125
qg_2022_030_munic.126,03011303809,030,1303809,São Gabriel da Cachoeira,126
qg_2022_030_munic.127,03011303908,030,1303908,São Paulo de Olivença,127
qg_2022_030_munic.128,03011303957,030,1303957,São Sebastião do Uatumã,128
qg_2022_030_munic.129,03011304005,030,1304005,Silves,129
qg_2022_030_munic.130,03011304062,030,1304062,Tabatinga,130
qg_2022_030_munic.131,03011304104,030,1304104,Tapauá,131
qg_2022_030_munic.132,03011304203,030,1304203,Tefé,132
qg_2022_030_munic.133,03011304237,030,1304237,Tonantins,133
qg_2022_030_munic.134,03011304260,030,1304260,Uarini,134
qg_2022_030_munic.135,03011304302,030,1304302,Urucará,135
qg_2022_030_munic.136,03011304401,030,1304401,Urucurituba,136
qg_2022_030_munic.137,03011400027,030,1400027,Amajari,137
qg_2022_030_munic.138,03011400050,030,1400050,Alto Alegre,138
qg_2022_030_munic.139,03011400100,030,1400100,Boa Vista,139
qg_2022_030_munic.140,03011400159,030,1400159,Bonfim,140
qg_2022_030_munic.141,03011400175,030,1400175,Cantá,141
qg_2022_030_munic.142,03011400209,030,1400209,Caracaraí,142
qg_2022_030_munic.143,03011400233,030,1400233,Caroebe,143
qg_2022_030_munic.144,03011400282,030,1400282,Iracema,144
qg_2022_030_munic.145,03011400308,030,1400308,Mucajaí,145
qg_2022_030_munic.146,03011400407,030,1400407,Normandia,146
qg_2022_030_munic.147,03011400456,030,1400456,Pacaraima,147
qg_2022_030_munic.148,03011400472,030,1400472,Rorainópolis,148
qg_2022_030_munic.149,03011400506,030,1400506,São João da Baliza,149
qg_2022_030_munic.150,03011400605,030,1400605,São Luiz,150
qg_2022_030_munic.151,03011400704,030,1400704,Uiramutã,151
qg_2022_030_munic.152,03011500107,030,1500107,Abaetetuba,152
qg_2022_030_munic.153,03011500131,030,1500131,Abel Figueiredo,153
qg_2022_030_munic.154,03011500206,030,1500206,Acará,154
qg_2022_030_munic.155,03011500305,030,1500305,Afuá,155
qg_2022_030_munic.156,03011500347,030,1500347,Água Azul do Norte,156
qg_2022_030_munic.157,03011500404,030,1500404,Alenquer,157
qg_2022_030_munic.158,03011500503,030,1500503,Almeirim,158
qg_2022_030_munic.159,03011500602,030,1500602,Altamira,159
qg_2022_030_munic.160,03011500701,030,1500701,Anajás,160
qg_2022_030_munic.161,03011500800,030,1500800,Ananindeua,161
qg_2022_030_munic.162,03011500859,030,1500859,Anapu,162
qg_2022_030_munic.163,03011500909,030,1500909,Augusto Corrêa,163
qg_2022_030_munic.164,03011500958,030,1500958,Aurora do Pará,164
qg_2022_030_munic.165,03011501006,030,1501006,Aveiro,165
qg_2022_030_munic.166,03011501105,030,1501105,Bagre,166
qg_2022_030_munic.167,03011501204,030,1501204,Baião,167
qg_2022_030_munic.168,03011501253,030,1501253,Bannach,168
qg_2022_030_munic.169,03011501303,030,1501303,Barcarena,169
qg_2022_030_munic.170,03011501402,030,1501402,Belém,170
